Feature,Importance (Random Forest),Importance (XGBoost)
count,0.1747203402474957,0.5725825
src_bytes,0.10792950584444777,0.002481477
dst_host_same_src_port_rate,0.10701668399764534,0.00088429335
dst_bytes,0.09738149940063216,0.17834082
logged_in,0.0871876492955101,0.0152856205
srv_count,0.0810690719260589,0.038701393
same_srv_rate,0.05317464120570341,0.06612913
service,0.050309250768567376,0.0029958338
dst_host_serror_rate,0.03389730008919771,0.0055152634
protocol_type,0.028974927748803513,0.017591558
diff_srv_rate,0.028818544651571014,0.0042400653
dst_host_srv_count,0.026873413764808216,0.0006551495
dst_host_srv_diff_host_rate,0.02484036827700339,0.026245872
flag,0.01827063171208453,0.0022121258
dst_host_diff_srv_rate,0.01826109587987807,0.0031902269
dst_host_count,0.014575850030841957,0.01894071
srv_serror_rate,0.008654698904683664,0.00019685787
srv_diff_host_rate,0.008259327714175918,0.004356062
dst_host_srv_serror_rate,0.0075031641946073525,0.024619317
dst_host_same_srv_rate,0.0067811389851242364,0.0014919898
dst_host_srv_rerror_rate,0.004920684375330527,0.00091685593
dst_host_rerror_rate,0.0029925106242589877,0.0006920879
duration,0.0023031586836500463,0.000594521
srv_rerror_rate,0.002090710866086174,0.00021056678
rerror_rate,0.0016435570268392829,0.0005171038
serror_rate,0.0008619793081767836,0.00038154607
num_compromised,0.0002569999903783026,0.0061769607
wrong_fragment,0.000201771768874369,0.002347992
hot,0.00017175626127763748,0.0009167637
num_file_creations,1.3531188781635462e-05,0.0002445622
num_root,1.3475896691536416e-05,0.000117789226
is_guest_login,9.61984546118959e-06,0.00016319033
land,8.493373225533637e-06,0.0
num_failed_logins,7.009943793467334e-06,0.0
num_shells,3.2879915497089757e-06,6.378685e-05
su_attempted,1.8228852161278652e-06,0.0
num_access_files,3.777814485207855e-07,0.0
root_shell,1.475501198931252e-07,0.0
is_host_login,0.0,0.0
num_outbound_cmds,0.0,0.0
urgent,0.0,0.0
