Feature,Importance
count,0.1747203402474957
src_bytes,0.10792950584444777
dst_host_same_src_port_rate,0.10701668399764534
dst_bytes,0.09738149940063216
logged_in,0.0871876492955101
srv_count,0.0810690719260589
same_srv_rate,0.05317464120570341
service,0.050309250768567376
dst_host_serror_rate,0.03389730008919771
protocol_type,0.028974927748803513
diff_srv_rate,0.028818544651571014
dst_host_srv_count,0.026873413764808216
dst_host_srv_diff_host_rate,0.02484036827700339
flag,0.01827063171208453
dst_host_diff_srv_rate,0.01826109587987807
dst_host_count,0.014575850030841957
srv_serror_rate,0.008654698904683664
srv_diff_host_rate,0.008259327714175918
dst_host_srv_serror_rate,0.0075031641946073525
dst_host_same_srv_rate,0.0067811389851242364
dst_host_srv_rerror_rate,0.004920684375330527
dst_host_rerror_rate,0.0029925106242589877
duration,0.0023031586836500463
srv_rerror_rate,0.002090710866086174
rerror_rate,0.0016435570268392829
serror_rate,0.0008619793081767836
num_compromised,0.0002569999903783026
wrong_fragment,0.000201771768874369
hot,0.00017175626127763748
num_file_creations,1.3531188781635462e-05
num_root,1.3475896691536416e-05
is_guest_login,9.61984546118959e-06
land,8.493373225533637e-06
num_failed_logins,7.009943793467334e-06
num_shells,3.2879915497089757e-06
su_attempted,1.8228852161278652e-06
num_access_files,3.777814485207855e-07
root_shell,1.475501198931252e-07
urgent,0.0
num_outbound_cmds,0.0
is_host_login,0.0
